"日時 実験 1","時間 (s) 実験 1","電流 (A) 実験 1","電圧 (V) 実験 1","電力 (W) 実験 1","温度 (°C) 実験 1"
2026/06/25 13:55:26,0.000,0.00106,2.24,0.00,23.9
2026/06/25 13:55:27,1.000,0.00212,2.24,0.00,23.9
2026/06/25 13:55:28,2.000,0.00159,2.24,0.00,23.9
2026/06/25 13:55:29,3.000,0.00106,2.25,0.00,23.9
2026/06/25 13:55:30,4.000,0.00,2.24,0.00,23.9
2026/06/25 13:55:31,5.000,0.00159,2.24,0.00,23.9
2026/06/25 13:55:32,6.000,0.00265,2.24,0.01,23.9
2026/06/25 13:55:33,7.000,0.00265,2.24,0.01,23.9
2026/06/25 13:55:34,8.000,0.00106,2.24,0.00,23.9
2026/06/25 13:55:35,9.000,0.00106,2.24,0.00,23.9
2026/06/25 13:55:36,10.000,0.00159,2.24,0.00,23.9
2026/06/25 13:55:37,11.000,0.00212,2.24,0.00,23.9
2026/06/25 13:55:38,12.000,0.00106,2.24,0.00,24.5
2026/06/25 13:55:39,13.000,0.00212,2.24,0.00,37.5
2026/06/25 13:55:40,14.000,0.00159,2.24,0.00,54.2
2026/06/25 13:55:41,15.000,0.00159,2.24,0.00,64.1
2026/06/25 13:55:42,16.000,0.00159,2.24,0.00,69.9
2026/06/25 13:55:43,17.000,0.00159,2.24,0.00,73.5
2026/06/25 13:55:44,18.000,0.00106,2.24,0.00,75.4
2026/06/25 13:55:45,19.000,0.00159,2.23,0.00,76.6
2026/06/25 13:55:46,20.000,0.00265,2.24,0.01,77.0
2026/06/25 13:55:47,21.000,0.00530,2.24,0.01,77.2
2026/06/25 13:55:48,22.000,0.00318,2.24,0.01,77.0
2026/06/25 13:55:49,23.000,0.00371,2.23,0.01,76.9
2026/06/25 13:55:50,24.000,0.00371,2.24,0.01,76.7
2026/06/25 13:55:51,25.000,0.00424,2.24,0.01,76.6
2026/06/25 13:55:52,26.000,0.00424,2.23,0.01,76.6
2026/06/25 13:55:53,27.000,0.00424,2.24,0.01,76.5
2026/06/25 13:55:54,28.000,0.00477,2.23,0.01,76.4
2026/06/25 13:55:55,29.000,0.00477,2.23,0.01,76.2
2026/06/25 13:55:56,30.000,0.00477,2.23,0.01,75.8
2026/06/25 13:55:57,31.000,0.00530,2.23,0.01,75.4
2026/06/25 13:55:58,32.000,0.00477,2.23,0.01,75.0
2026/06/25 13:55:59,33.000,0.00424,2.23,0.01,74.6
2026/06/25 13:56:00,34.000,0.00371,2.23,0.01,74.2
2026/06/25 13:56:01,35.000,0.00477,2.23,0.01,73.9
2026/06/25 13:56:02,36.000,0.00477,2.23,0.01,73.5
2026/06/25 13:56:03,37.000,0.00636,2.23,0.01,73.2
2026/06/25 13:56:04,38.000,0.00689,2.23,0.02,72.9
2026/06/25 13:56:05,39.000,0.00583,2.23,0.01,72.5
2026/06/25 13:56:06,40.000,0.00530,2.23,0.01,72.3
2026/06/25 13:56:07,41.000,0.00530,2.23,0.01,71.8
2026/06/25 13:56:08,42.000,0.00530,2.23,0.01,71.4
2026/06/25 13:56:09,43.000,0.00530,2.23,0.01,71.0
2026/06/25 13:56:10,44.000,0.00477,2.23,0.01,70.5
2026/06/25 13:56:11,45.000,0.00477,2.23,0.01,70.3
2026/06/25 13:56:12,46.000,0.00530,2.24,0.01,69.9
2026/06/25 13:56:13,47.000,0.00583,2.23,0.01,69.7
2026/06/25 13:56:14,48.000,0.00583,2.23,0.01,69.4
2026/06/25 13:56:15,49.000,0.00689,2.23,0.02,69.0
2026/06/25 13:56:16,50.000,0.00583,2.23,0.01,68.6
2026/06/25 13:56:17,51.000,0.00530,2.23,0.01,68.2
2026/06/25 13:56:18,52.000,0.00530,2.23,0.01,67.9
2026/06/25 13:56:19,53.000,0.00530,2.23,0.01,67.6
